=== CloudTrail events from 212.8.249.213: 182 ===
2026-03-08T21:42:11 | GetCallerIdentity | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:22 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:23 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:24 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:49:25 | GetObject | i-00779ebad43b2470d | 
2026-03-08T21:50:25 | ListFunctions20150331 | i-00779ebad43b2470d | 
2026-03-08T21:50:59 | DescribeDBInstances | i-00779ebad43b2470d | 
2026-03-08T21:51:08 | ListTables | i-00779ebad43b2470d | 
2026-03-08T21:51:14 | DescribeDBClusters | i-00779ebad43b2470d | 

full userIdentity[0]: {"type": "AssumedRole", "principalId": "AROAWYH2FSTSKXXFXFF72:i-00779ebad43b2470d", "arn": "arn:aws:sts::464381121764:assumed-role/iam_role_iisserver/i-00779ebad43b2470d", "accountId": "464381121764", "accessKeyId": "ASIAWYH2FSTSC7A6KEVV", "sessionContext": {"sessionIssuer": {"type": "Role", "principalId": "AROAWYH2FSTSKXXFXFF72", "arn": "arn:aws:iam::464381121764:role/iam_role_iisserver", "accoun

event name counts: {'GetCallerIdentity': 1, 'ListRolePolicies': 1, 'ListAttachedRolePolicies': 1, 'ListUsers': 2, 'CreateAccessKey': 4, 'ListBuckets': 1, 'ListObjects': 4, 'GetObject': 164, 'ListFunctions20150331': 1, 'DescribeDBInstances': 1, 'ListTables': 1, 'DescribeDBClusters': 1}

=== events mentioning iisserver / iis role (any IP) ===
2026-02-28T23:58:57 | UpdateInstanceInformation | ip=3.143.113.57
