===== actor=cloud_admin — all events =====

===== root WRITE events per day (UploadServerCertificate/CreateAccessKey/PutUserPolicy) =====

===== 2026-03-08 19:00-23:00 WRITE events (non-root-noise), any actor =====
19:01:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:23:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:24:27 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:24:46 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:26:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:26:36 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:28:36 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:28:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:29:57 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:31:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:33:36 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:33:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:36:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:36:37 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:38:46 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:38:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:39:11 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:41:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:41:31 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:42:47 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:43:37 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:43:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:46:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:46:28 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:48:47 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:48:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:49:01 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:50:38 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:51:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:53:15 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:53:46 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:53:47 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:53:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:54:43 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:55:50 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:56:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:56:58 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:58:37 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:58:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:59:59 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:00:23 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:01:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:02:33 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:02:39 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:02:45 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:03:41 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:03:47 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:03:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:04:12 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:06:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:06:06 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:06:47 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:07:39 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:08:48 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:08:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:10:38 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:10:49 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:11:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:11:21 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:12:02 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:12:09 | AssumeRole             | AWSService     | ec2.amazonaws.com
21:12:09 | AssumeRole             | AWSService     | ec2.amazonaws.com
21:12:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:13:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:13:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:15:51 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:16:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:17:45 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:18:49 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:18:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:18:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:20:30 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:21:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:23:46 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:23:49 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:23:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:25:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:25:27 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:25:52 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:26:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:26:46 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:28:39 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:28:45 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:28:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:30:21 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:31:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:31:53 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:32:57 | SendMessage            | arn:aws:iam::464381121764:root | 216.82.9.162
21:33:35 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:33:49 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:33:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:36:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:36:52 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:38:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:38:49 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:38:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:41:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:41:13 | SendMessage            | arn:aws:iam::464381121764:root | 216.82.9.162
21:43:02 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:43:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:43:56 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:44:08 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:45:38 | CreateAccessKey        | i-00779ebad43b2470d | 212.8.249.213
21:45:51 | CreateAccessKey        | i-00779ebad43b2470d | 212.8.249.213
21:46:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:46:04 | CreateAccessKey        | i-00779ebad43b2470d | 212.8.249.213
21:46:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:46:14 | CreateAccessKey        | i-00779ebad43b2470d | 212.8.249.213
21:46:27 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:46:56 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:47:05 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:47:43 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:48:43 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:48:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:48:56 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:49:29 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:51:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:51:07 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:52:48 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:53:46 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:53:50 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:53:56 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:54:23 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:54:27 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:55:26 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:56:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:56:56 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
21:57:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:52 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:52 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:57:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
21:58:22 | SendMessage            | arn:aws:iam::464381121764:root | 216.82.9.162
21:58:40 | PutObject              | AWSService     | cloudtrail.amazonaws.com
21:58:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
21:59:53 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:00:05 | PutObject              | AWSService     | guardduty.amazonaws.com
22:01:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:01:56 | AuthorizeOAuth2Access  | arn:aws:iam::464381121764:root | 216.82.9.162
22:01:57 | CreateOAuth2Token      | arn:aws:iam::464381121764:root | 216.82.9.162
22:03:44 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:03:51 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:03:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
22:05:08 | PutObject              | AWSService     | guardduty.amazonaws.com
22:06:02 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:06:07 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:06:54 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:08:21 | AssumeRole             | AWSService     | ec2.amazonaws.com
22:08:21 | AssumeRole             | AWSService     | ec2.amazonaws.com
22:08:51 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:08:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
22:11:03 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:11:27 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
22:11:54 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:12:01 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
22:12:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:17 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:38 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:49 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:49 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:49 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:49 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:50 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:50 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:50 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:50 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:50 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:51 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:51 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:51 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:51 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:51 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:52 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:52 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:52 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:53 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:54 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:54 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:54 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:54 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:54 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:55 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:55 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:55 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:55 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:56 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:56 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:56 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:56 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:57 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:57 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:57 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:57 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:57 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:58 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:58 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:58 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:58 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:59 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:59 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:59 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:59 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:12:59 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:00 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:01 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:02 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:02 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:02 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:02 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:02 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:03 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:03 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:03 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:03 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:03 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:04 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:04 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:04 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:04 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:05 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:05 | AssumeRole             | AWSService     | guardduty.amazonaws.com
